V_Word,about,above,af,after,again,against,all,almost,along,also,although,always,american,among,an,another,any,are,area,around,as,asked,at,away,back,be,because,become,been,before,began,being,best,better,between,big,both,business,but,by,called,came,can,case,certain,children,church,city,come,could,country,course,day,days,development,did,different,do,does,done,door,down,during,each,early,end,enough,even,ever,every,example,eyes,face,fact,family,far,felt,few,find,first,for,form,found,four,from,general,get,give,given,go,god,going,good,got,government,great,group,had,hand,has,have,he,head,help,her,here,high,him,himself,his,home,house,how,however,human,if,important,interest,into,is,it,its,itself,john,just,kind,knew,know,large,last,later,law,least,left,less,let,life,light,like,line,little,long,look,looked,made,make,man,many,matter,may,me,means,members,men,might,mind,more,most,much,must,my,name,national,need,never,new,next,night,no,not,nothing,now,number,off,often,old,on,once,one,only,open,or,order,other,others,our,out,over,own,part,people,per,perhaps,place,point,possible,power,present,president,problem,program,public,put,rather,right,room,said,same,saw,say,school,second,see,seemed,sense,service,set,several,she,should,side,since,small,so,social,some,something,state,states,still,such,system,take,than,that,their,them,then,there,these,they,thing,things,think,this,those,though,thought,three,through,thus,time,times,told,too,took,toward,turned,two,under,united,until,up,upon,us,use,used,very,want,war,was,water,way,we,well,went,were,what,when,where,which,while,white,who,whole,why,will,with,within,without,work,world,would,year,years,yet,york,you,young,your,about,above,af,after,again,against,all,almost,along,also,although,always,american,among,an,another,any,are,area,around,as,asked,at,away,back,be,because,become,been,before,began,being,best,better,between,big,both,business,but,by,called,came,can,case,certain,children,church,city,come,could,country,course,day,days,development,did,different,do,does,done,door,down,during,each,early,end,enough,even,ever,every,example,eyes,face,fact,family,far,felt,few,find,first,for,form,found,four,from,general,get,give,given,go,god,going,good,got,government,great,group,had,hand,has,have,he,head,help,her,here,high,him,himself,his,home,house,how,however,human,if,important,interest,into,is,it,its,itself,john,just,kind,knew,know,large,last,later,law,least,left,less,let,life,light,like,line,little,long,look,looked,made,make,man,many,matter,may,me,means,members,men,might,mind,more,most,much,must,my,name,national,need,never,new,next,night,no,not,nothing,now,number,off,often,old,on,once,one,only,open,or,order,other,others,our,out,over,own,part,people,per,perhaps,place,point,possible,power,present,president,problem,program,public,put,rather,right,room,said,same,saw,say,school,second,see,seemed,sense,service,set,several,she,should,side,since,small,so,social,some,something,state,states,still,such,system,take,than,that,their,them,then,there,these,they,thing,things,think,this,those,though,thought,three,through,thus,time,times,told,too,took,toward,turned,two,under,united,until,up,upon,us,use,used,very,want,war,was,water,way,we,well,went,were,what,when,where,which,while,white,who,whole,why,will,with,within,without,work,world,would,year,years,yet,york,you,young,your
ever,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,2,3,1,1,14,0,2,0,0,3,0,1,5,4,0,0,1,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,6,1,0,1,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,40,0,12,21,33,0,0,1,0,0,1,1,1,0,1,0,0,0,20,0,0,0,7,10,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,3,0,0,3,3,1,1,0,0,1,0,0,0,0,0,8,1,3,3,0,0,0,0,2,1,9,2,0,6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,1,0,0,0,0,0,0,1,0,28,8,0,2,0,5,1,6,3,2,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11,0,1,2,2,0,1,0,0,1,1,0,0,6,0,1,4,1,0,2,0,2,11,0,0,0,0,24,0,0,3,0,0,0,0,0,1,2,0,0,1,0,0,0,3,1,2,0,0,0,2,2,3,0,0,10,0,0,20,12,0,1,0,1,1,0,0,0,4,1,3,2,1,0,0,0,2,0,3,0,0,1,0,0,0,6,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2,0,1,1,5,1,0,1,0,1,0,5,0,1,0,11,0,1,4,7,1,0,4,1,0,4,1,6,0,1,3,0,0,1,0,0,1,1,5,0,0,1,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3,3,2,0,0,0,2,0,0,1,0,0,2,0,1,0,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,7,1,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,12,1,0,1,8,0,0,0,1,0,5,0,0,28,0,1,0,0,0,0,0,0,1,0,0,0,9,4,1,3,2,0,4,0,0,1,6,0,0,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,1,0,13,0,0,6,1,1,0,3,5,0,1,1,0,0,0,1,2,4,0,2,2,1,0,0,0,1,0,4,0,1
every,5,1,1,3,1,1,4,18,1,2,0,0,0,0,1,0,1,2,0,1,7,0,13,1,1,8,0,0,2,1,0,0,0,0,2,0,0,0,4,7,0,1,1,3,0,0,1,0,3,1,3,0,2,1,1,2,2,0,0,0,0,0,2,2,0,0,1,2,0,4,0,1,0,0,2,1,0,1,1,2,23,0,2,0,7,0,0,1,1,0,1,0,1,0,0,0,0,6,1,0,6,10,0,1,6,2,0,5,0,8,2,2,0,0,1,1,0,0,7,17,7,1,1,0,2,0,0,0,1,0,0,0,0,1,0,2,3,0,3,0,3,1,0,0,2,2,1,0,1,1,3,1,0,0,0,0,6,1,0,0,1,1,1,0,0,0,0,0,2,3,0,0,0,1,0,0,14,4,1,2,2,2,0,0,0,2,7,3,0,1,1,0,0,2,0,0,1,0,0,1,0,2,0,0,0,2,2,2,0,0,1,0,0,2,1,0,1,1,1,1,1,1,0,4,0,0,0,0,1,2,2,0,4,0,27,1,3,3,6,0,4,1,1,1,2,0,0,0,1,1,1,3,0,1,0,2,1,0,0,0,1,0,3,0,2,0,1,1,0,1,5,1,0,2,0,0,2,0,0,1,7,1,2,1,0,0,3,17,0,0,5,1,0,0,0,2,0,4,0,0,2,1,5,0,1,0,2,0,0,0,0,0,6,0,3,1,0,2,1,2,5,0,6,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,1,3,1,0,1,3,0,0,1,0,29,1,0,0,0,0,0,0,2,0,2,0,1,0,0,2,0,4,0,0,1,2,7,0,0,5,0,3,5,0,0,1,4,0,0,0,0,0,0,0,0,1,2,1,1,2,2,4,2,6,0,0,0,0,1,0,0,6,0,1,0,0,0,2,1,0,0,7,9,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,1,1,1,2,0,11,0,0,0,0,2,0,0,1,1,0,1,0,3,0,0,0,1,0,2,0,7,3,3,0,3,1,0,3,0,9,1,11,0,0,4,0,14,0,0,0,0,0,5,1,0,0,0,1,3,0,1,2,3,1,1,0,0,3,0,0,0,1,0,3,0,0,0,1,2,1,0,4,0,0,1,0,3,0,0,0,3,0,0,3,0,1,0,8,1,1,3,2,2,7,0,0,0,5,1,1,0,4,1,0,18,0,0,0,0,1,0,0,0,2,0,0,0,2,0,1,0,0,1,9,1,4,3,0,0,0,2,5,0,6,2,1,6,0,0,1,3,0,0,0,0,0,12,1,0,0,2,0,2
example,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33,2,2,1,0,0,18,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,2,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,177,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,10,2,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,11,4,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,3,0,0,1,1,2,2,0,3,0,0,6,0,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,5,0,0,1,1,0,0,0,2,0,0,3,0,0,4,0,1,0,11,7,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,0,2,1,0,2,1,0,0,0,1,1,0,0,0,6,0,0,1,0,0,0,3,1,6,2,0,2,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,1,1,3,0,1,0,1,2,0,1,0,11,0,1,1,4,0,2,0,0,0,10,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,10,0,1,3,0,1,0,1,2,4,4,0,0,2,1,0,2,1,0,0,0,1,2,1,0,0,0,3,0,4
eyes,1,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,5,2,6,1,0,0,0,5,0,0,1,0,1,1,1,0,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,3,0,0,0,0,1,0,1,1,0,0,0,5,0,1,0,0,1,0,0,0,0,0,1,0,2,2,0,4,0,0,0,63,0,0,4,1,111,0,1,0,1,0,2,0,1,7,1,1,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,18,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,2,0,0,1,0,6,3,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,15,1,0,1,1,0,0,0,0,1,7,1,0,0,5,0,1,0,0,1,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,2,0,1,2,5,0,2,0,1,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,0,5,0,0,0,0,3,0,0,4,0,0,8,0,1,11,0,5,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,5,1,0,0,0,2,1,0,0,5,0,0,0,7,0,0,0,0,1,0,0,0,2,0,0,1,10,1,0,1,20,1,0,7,0,1,4,1,17,1,0,5,0,0,3,0,0,1,1,8,0,0,0,2,0,2,1,1,0,0,0,0,0,0,1,0,0,5,0,0,1,2,2,1,1,2,1,0,0,1,0,0,3,1,0,0,1,0,0,0,1,0,1,2,0,0,1,0,5,1,2,0,3,0,2,18,1,0,1,6,3,0,2,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1,0,0,2,1,0,0,1,0,10,0,1,0,3,2,0,3,0,0,0,1,0,0,0,0,13,4,1,1,2,1,4,1,0,0,0,2,0,0,1,0,0,1,1,1,1,0,4,2,2,0,1,0,3,2,1,0,0,1,0,0,10,0,0,3,1,2,34,3,4,0,4,6,0,1,0,0,0,17,0,0,0,1,1,0,0,0,0,7,1,0
face,3,0,0,0,0,1,0,2,0,2,0,0,0,0,3,0,0,2,0,0,2,0,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,1,0,1,0,1,6,0,0,0,1,0,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,5,2,0,0,40,1,1,4,0,101,0,0,0,0,0,0,0,0,5,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,1,0,1,6,0,1,0,1,0,0,29,1,1,0,1,1,0,2,0,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0,0,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,1,2,0,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,5,0,0,0,0,1,1,1,1,1,0,0,0,4,0,1,5,0,0,2,0,1,0,1,0,2,1,0,0,2,5,1,0,0,0,3,0,1,0,0,1,2,5,0,1,0,1,2,2,1,2,1,2,0,1,0,0,7,0,0,2,0,0,5,0,3,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,3,6,0,0,0,0,1,0,1,1,1,0,0,3,0,2,0,0,0,0,0,1,1,0,0,0,5,1,0,0,24,0,0,7,1,0,4,0,18,0,0,0,0,0,2,0,0,0,7,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,2,0,1,1,1,0,1,0,0,1,1,0,2,0,0,0,2,0,0,0,1,0,2,0,3,1,0,1,0,0,0,1,6,0,4,2,0,6,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,0,2,0,8,0,0,0,0,1,1,2,0,1,0,4,1,0,0,0,10,3,0,2,3,1,3,0,0,0,5,0,0,0,0,0,0,0,1,0,1,1,2,5,1,0,0,1,6,0,0,0,0,2,0,0,30,0,0,0,0,0,0,6,2,0,2,0,1,0,1,2,3,12,0,2,0,2,2,1,0,0,0,4,1,1
fact,1,1,0,2,0,0,1,0,0,5,0,1,0,0,4,2,2,0,0,0,21,0,3,1,0,5,3,0,5,0,0,0,0,0,0,0,0,1,5,18,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,8,0,3,0,20,0,0,0,0,0,0,0,0,0,0,2,0,5,0,3,4,4,1,0,1,0,0,3,0,7,1,0,0,1,1,0,2,1,3,33,11,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,2,2,0,0,2,1,0,0,2,0,2,2,17,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,3,0,0,2,4,0,1,0,0,1,1,4,1,5,2,0,0,1,3,1,1,5,3,0,1,2,1,1,0,6,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0,5,0,0,1,1,4,0,2,3,9,0,1,1,3,1,3,0,1,0,11,1,1,0,0,1,0,3,1,0,0,1,0,0,1,1,1,0,0,2,2,1,0,2,0,4,19,0,0,1,3,0,5,1,0,0,4,1,1,0,0,0,1,6,0,0,1,1,2,1,0,3,0,1,0,1,2,0,1,0,0,0,7,0,1,0,3,0,2,0,5,0,1,1,0,0,7,0,1,0,0,3,0,0,5,0,0,2,0,0,2,0,1,2,2,5,0,1,1,1,0,1,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,6,1,0,1,4,0,0,0,0,0,0,0,0,1,1,1,1,9,0,4,5,32,0,0,1,1,0,0,0,7,0,0,0,2,0,2,2,0,2,24,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,2,1,0,1,4,1,1,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,1,0,0,6,3,0,1,0,0,3,0,2,2,5,4,0,2,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,3,0,0,0,0,2,0,8,0,1,0,0,5,0,0,1,212,4,0,0,9,2,9,0,0,1,9,2,0,0,0,1,0,3,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,3,1,0,9,0,1,6,0,2,0,2,0,0,4,1,2,2,4,1,0,7,0,1,0,2,1,0,1,0,0,5,1,3
family,2,0,0,1,0,0,2,0,0,0,0,0,1,0,1,2,1,1,0,1,3,0,8,1,0,4,0,0,4,2,0,0,0,0,0,0,0,2,0,7,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,1,2,0,7,0,0,0,0,2,0,0,0,0,3,16,0,0,0,9,0,0,0,0,0,1,1,2,1,0,1,0,6,0,0,2,0,1,0,7,1,0,2,0,29,0,0,0,0,0,2,1,0,2,8,2,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,10,0,0,0,1,0,0,1,6,0,3,0,0,0,0,0,4,1,0,1,1,0,0,0,6,0,4,2,0,4,0,2,0,1,3,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,2,8,5,2,1,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,2,0,2,3,1,2,0,0,5,0,3,12,1,1,0,0,0,0,1,0,0,5,0,7,1,0,1,1,2,0,3,0,0,1,0,2,0,0,0,1,0,2,0,2,6,1,6,1,0,11,3,1,2,1,0,0,0,0,1,0,1,8,5,2,0,2,9,0,0,1,0,1,1,3,0,0,2,0,0,0,1,2,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,3,0,0,0,3,1,0,0,0,0,3,0,1,0,0,0,0,8,0,4,8,7,0,1,0,1,0,0,0,7,5,0,0,0,0,0,0,1,1,9,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,6,0,2,1,1,0,0,0,1,0,3,0,0,1,0,0,4,0,2,1,0,0,0,2,1,0,0,0,0,2,0,0,3,3,0,1,0,1,0,0,4,0,4,0,0,5,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,8,1,0,3,1,0,1,0,2,0,0,0,0,0,2,2,0,0,3,4,1,0,0,6,0,3,0,0,1,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,13,0,0,3,1,1,1,0,0,0,4,1,1,4,0,0,7,5,0,3,0,0,2,0,1,0,0,0,0,1
far,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,16,0,0,57,0,13,1,1,9,0,1,3,1,0,3,1,0,0,0,0,1,5,6,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,0,4,0,2,0,1,13,0,2,0,2,0,0,0,4,1,6,6,8,0,0,1,0,0,4,0,1,0,1,20,2,0,0,0,0,0,39,9,0,0,0,2,0,1,1,0,0,0,0,3,1,0,0,3,0,1,0,1,1,0,0,2,0,0,0,0,3,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,17,0,0,0,0,1,0,5,0,3,1,0,3,0,2,0,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,65,0,1,1,1,0,3,0,0,2,1,11,2,1,0,2,0,4,0,1,0,6,2,2,0,0,0,13,1,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,15,1,0,1,1,8,6,0,0,0,2,0,0,1,0,0,3,2,1,0,1,1,6,0,0,1,0,2,0,0,1,3,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,83,2,1,12,9,0,1,0,5,0,0,5,0,4,0,0,0,0,2,0,0,0,8,0,2,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,3,0,1,2,12,5,2,0,1,0,0,0,0,0,2,0,0,0,2,4,0,1,0,60,0,0,1,1,1,0,0,0,0,0,0,1,2,0,3,3,8,0,0,2,0,0,1,0,2,1,0,1,0,0,2,2,0,2,1,10,2,0,0,0,1,3,3,0,0,0,0,0,1,12,0,0,0,0,1,0,2,0,1,1,1,3,3,0,2,1,0,0,0,0,0,46,2,3,1,0,0,0,0,0,1,0,0,2,1,0,2,0,3,0,0,3,1,1,0,0,1,0,0,0,4,3,1,0,1,1,0,0,0,0,6,0,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,1,0,1,0,0,1,20,7,3,1,1,2,2,4,0,0,0,10,1,1,1,0,1,0,0,0,1,14,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,3,1,0,0,3,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0
felt,1,0,0,0,4,0,2,0,0,5,0,6,0,0,0,0,0,3,0,1,3,0,4,0,2,4,1,0,2,3,0,1,0,0,0,0,2,0,8,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,14,1,4,8,89,0,0,8,1,0,3,0,9,0,1,3,0,0,2,0,1,0,4,8,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,4,2,1,0,0,4,0,0,1,0,0,0,1,0,1,2,0,0,1,5,2,0,0,1,3,0,5,0,1,0,1,2,2,0,0,0,0,0,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,19,1,1,2,1,0,16,0,0,0,3,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,7,0,3,9,0,0,5,6,3,1,8,0,0,5,0,0,0,0,0,0,0,2,0,0,0,1,1,2,1,0,12,0,0,0,2,0,2,2,0,0,0,0,0,0,2,0,1,0,0,0,10,0,6,0,0,1,1,0,0,0,0,0,0,7,1,0,0,0,3,4,0,0,0,0,4,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,3,1,0,0,0,12,0,0,0,0,0,0,0,0,1,0,1,5,0,0,1,0,5,0,0,0,15,0,0,5,0,0,2,4,13,1,0,0,0,1,6,1,1,0,0,18,0,0,0,1,2,0,1,0,1,0,0,0,0,1,0,0,1,16,0,6,0,1,1,1,4,0,1,0,0,2,0,0,0,2,0,5,1,3,2,6,0,0,6,1,2,0,0,7,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,1,0,1,0,1,0,0,0,0,0,6,1,1,0,1,4,0,0,3,0,0,1,2,0,0,4,53,2,5,0,5,2,13,0,0,0,4,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,9,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,1
few,1,0,0,11,2,0,4,0,0,1,4,1,0,2,2,1,0,20,0,1,7,1,6,2,1,3,1,0,3,1,0,0,0,0,0,0,0,1,16,8,2,1,0,0,0,1,1,1,1,0,0,2,1,0,1,1,0,1,0,0,0,1,5,2,1,0,1,2,0,5,0,1,1,1,0,0,0,2,1,11,45,0,1,0,8,1,1,1,1,1,0,0,1,1,0,0,0,10,0,5,17,6,1,0,2,3,0,4,0,7,1,0,2,2,0,0,1,0,1,9,8,0,0,0,6,0,0,2,0,20,0,1,2,3,1,2,0,1,1,1,0,2,1,0,2,4,1,0,1,1,1,0,0,3,0,0,2,3,0,0,1,0,0,0,0,0,14,1,1,1,0,0,0,2,1,0,5,1,14,39,0,10,0,0,0,2,7,3,0,0,1,0,0,0,1,1,1,0,2,1,0,0,2,0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,2,1,2,0,1,9,0,1,0,3,0,0,2,0,3,5,9,4,2,2,17,4,4,0,0,0,2,3,1,1,0,0,1,1,0,0,4,1,0,0,0,0,0,2,5,1,2,0,0,24,0,0,9,1,0,2,1,0,19,1,1,0,4,0,0,3,0,0,2,32,13,0,2,0,2,2,0,1,0,1,0,1,5,0,2,6,0,0,2,0,2,1,0,0,0,1,0,0,5,7,1,0,1,0,5,3,1,3,0,1,0,8,0,0,0,0,0,0,0,1,7,0,0,1,1,0,0,2,0,1,0,1,0,0,0,44,0,1,0,1,1,0,0,1,1,1,1,0,0,2,2,1,0,1,0,0,0,0,0,2,1,1,6,0,0,0,6,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,8,4,0,0,0,0,0,0,0,4,0,0,0,0,0,8,2,0,1,3,5,2,0,0,0,0,0,1,1,1,12,0,0,2,1,0,2,0,0,0,3,1,1,0,1,2,0,4,0,1,0,1,0,4,0,0,11,2,1,1,0,0,1,0,0,3,0,0,0,3,0,0,5,1,0,3,10,0,1,3,2,5,0,5,2,3,1,2,0,0,15,3,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,2,0,1,1,0,1,0,0,0,0,6,0,0,0,1,2,0,0,1,0,1,0,6,1,0,2,9,4,6,8,2,4,4,0,7,1,3,0,1,2,0,0,0,2,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,5,1,0,4,0,1,7,1,0,0,5,0,1,12,0,0,6,3,0,2,1,1,4,0,52,0,1,1,1,3
